"ENG18440_Disraeli" "ENG18450_Disraeli" "ENG18471_Bronte" "ENG18481_Dickens" "ENG18530_Dickens" "ENG18570_Bronte" "ENG18650_Trollope" "ENG18742_Trollope" "ENG18952_Wells" "ENG19090_Wells" "ENG19120_Wells"
"time" 0.163509844915281 0.183770674200848 0.102119395988884 0.172884745365069 0.184091410907485 0.147884583310168 0.118514657657071 0.155632706811924 0.622797423745291 0.195806418982385 0.159188337637804
"lady" 0.187225013261772 0.291282769311548 0.0585930960591958 0.0949609263717664 0.203963347317289 0.0344693389670317 0.323588450095091 0.0311265413623848 0 0.08959408101039 0.044255678928352
"mrs" 0.0143539176834025 0.0481304146716506 0.111326882512472 0.365599566531301 0.186575402958711 0.0300216823261244 0.175600251921209 0.186759248174309 0.00607607242678333 0.0368491784800798 0.147298752254067
"like" 0.105470090804131 0.150641947219062 0.131415944018482 0.177912088525927 0.1758114374034 0.200144548840829 0.123788870170605 0.179576200167604 0.221776643577591 0.223262669614601 0.17107792302154
"never" 0.175991512466065 0.170019127151805 0.151505005524492 0.149982404298937 0.186851402075513 0.126758214265859 0.188320411512675 0.138872261462947 0.0607607242678333 0.13005592404734 0.105024670889671
"did" 0.102973757293974 0.0993861809453564 0.201727659289517 0.11423240848839 0.114815632589976 0.20348029132151 0.272087316139401 0.232251885550102 0.124559484749058 0.166182569616046 0.153243544945935
"can" 0.111710924579524 0.161893212986461 0.150667961295075 0.110042955854341 0.182435416206668 0.103408016901095 0.226791138081986 0.201125344187717 0.0668367966946166 0.174130431641161 0.1307854392211
"than" 0.173495178955909 0.151892087859884 0.165734757424582 0.150540997983477 0.146279531905498 0.170122866514705 0.182115455614399 0.174787501496468 0.103293231255317 0.111992601262988 0.144656622168792
"much" 0.142915093456486 0.142516033053719 0.0795192017946228 0.152775372721636 0.171119452417752 0.125646300105632 0.208796765976986 0.227463186878966 0.0698748329080083 0.12644325949047 0.137390764434287
"well" 0.113583174712142 0.198147291570302 0.112163926741889 0.124566391652376 0.163391477147273 0.185689664757881 0.185217933563537 0.1723931521609 0.1093693036821 0.112715134174362 0.112951061145495
"such" 0.104221924049053 0.102511532547412 0.0853785114005424 0.158919903251574 0.157871494811217 0.13342969922722 0.2450957579819 0.208308392194421 0.0941791226151416 0.083091284808023 0.0746401749090116
"think" 0.0742659219271695 0.120013501518921 0.0945859979241303 0.109205065327531 0.13965555310223 0.0767220770556513 0.264641369061469 0.189153597509877 0.1093693036821 0.179910694932154 0.143996089647474
